"","Position","Track.Name","Artist","Streams","URL","Date","Region","Danceability","Duration","Instrumentalness","Speechiness","Tempo"
"773405",183,"My Way","Calvin Harris",148265,"1vvNmPOiUuyCbgWmtc6yfm","2017-01-09","us",NA,NA,NA,NA,NA
"773406",184,"False Alarm","The Weeknd",147660,"32lgtADX2cB9I4KFs1Y1py","2017-01-09","us",NA,NA,NA,NA,NA
"773407",185,"Castro","Yo Gotti",147556,"0rHJxNaQRMGK6Y4TUx3xRO","2017-01-09","us",NA,NA,NA,NA,NA
"773408",186,"Hotline Bling","Drake",147265,"2FBUoWkIuQXwayw2RNo5l6","2017-01-09","us",NA,NA,NA,NA,NA
"773409",187,"Unsteady","X Ambassadors",147140,"7lGKEWMXVWWTt3X71Bv44I","2017-01-09","us",NA,NA,NA,NA,NA
"773410",188,"Drinkin' Too Much","Sam Hunt",146744,"1PouCui4RgDYcrQVAqdYuf","2017-01-09","us",NA,NA,NA,NA,NA
"773411",189,"Feel Me","Tyga",145743,"2Cth0v1xri32oZ799rL3rl","2017-01-09","us",NA,NA,NA,NA,NA
"773412",190,"Say It (feat. Tove Lo)","Flume",145465,"4sQMalN597HdggTu196aL0","2017-01-09","us",NA,NA,NA,NA,NA
"773413",191,"No Type","Rae Sremmurd",145144,"4scpF6J5uMBvoh6sFB7EL1","2017-01-09","us",NA,NA,NA,NA,NA
"773414",192,"Miss You","James Hersey",143343,"7of1slAJIWrXxP8ikAHxje","2017-01-09","us",NA,NA,NA,NA,NA
"773415",193,"beibs in the trap","Travis Scott",142686,"0ESJlaM8CE1jRWaNtwSNj8","2017-01-09","us",NA,NA,NA,NA,NA
"773416",194,"Skateboard P","MadeinTYO",142619,"4qdgv45EPcQqpQ08tF34f8","2017-01-09","us",NA,NA,NA,NA,NA
"773417",195,"Sorry","Justin Bieber",142347,"69bp2EbF7Q2rqc5N3ylezZ","2017-01-09","us",NA,NA,NA,NA,NA
"773418",196,"Baptized In Fire","Kid Cudi",142223,"6WSBZroxQaO3FYEpT2ACFH","2017-01-09","us",NA,NA,NA,NA,NA
"773419",197,"Versace On The Floor","Bruno Mars",140277,"0kN8xEmgMW9mh7UmDYHlJP","2017-01-09","us",NA,NA,NA,NA,NA
"773420",198,"Cash Machine","DRAM",140081,"6GG2tkV9PRYGN5rniXPFXZ","2017-01-09","us",NA,NA,NA,NA,NA
"773421",199,"everybody dies","J. Cole",139864,"1wIQtB3UQ1TfjNMZZqO6eh","2017-01-09","us",NA,NA,NA,NA,NA
"773422",200,"Really Really","Kevin Gates",138867,"10I3CmmwT0BkOVhduDy53o","2017-01-09","us",NA,NA,NA,NA,NA
"773423",1,"Bad and Boujee (feat. Lil Uzi Vert)","Migos",1554966,"4Km5HrUvYTaSUfiSGPJeQR","2017-01-10","us",NA,NA,NA,NA,NA
"773424",2,"Shape of You","Ed Sheeran",1512685,"7qiZfU4dY1lWllzX7mPBI3","2017-01-10","us",NA,NA,NA,NA,NA
"773425",3,"Fake Love","Drake",1181414,"343YBumqHu19cGoGARUTsd","2017-01-10","us",NA,NA,NA,NA,NA
"773426",4,"Starboy","The Weeknd",1022585,"5aAx2yezTd8zXrkmtKl66Z","2017-01-10","us",NA,NA,NA,NA,NA
"773427",5,"Castle on the Hill","Ed Sheeran",942521,"6PCUP3dWmTjcTtXY02oFdT","2017-01-10","us",NA,NA,NA,NA,NA
"773428",6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",883431,"3NdDpSvN911VPGivFlV5d0","2017-01-10","us",NA,NA,NA,NA,NA
"773429",7,"Bounce Back","Big Sean",785941,"0SGkqnVQo9KPytSri1H6cF","2017-01-10","us",NA,NA,NA,NA,NA
"773430",8,"Caroline","Aminé",748426,"5GFDrUTLGJix84sNhjCG0g","2017-01-10","us",NA,NA,NA,NA,NA
"773431",9,"Bad Things (with Camila Cabello)","Machine Gun Kelly",744273,"1PSBzsahR2AKwLJgx8ehBj","2017-01-10","us",NA,NA,NA,NA,NA
"773432",10,"Black Beatles","Rae Sremmurd",728267,"6fujklziTHa8uoM5OQSfIo","2017-01-10","us",NA,NA,NA,NA,NA
"773433",11,"Closer","The Chainsmokers",723875,"7BKLCZ1jbUBVqRi2FVlTVw","2017-01-10","us",NA,NA,NA,NA,NA
"773434",12,"I Feel It Coming","The Weeknd",677361,"5GXAXm5YOmYT0kL5jHvYBt","2017-01-10","us",NA,NA,NA,NA,NA
"773435",13,"Broccoli (feat. Lil Yachty)","DRAM",582663,"7yyRTcZmCiyzzJlNzGC9Ol","2017-01-10","us",NA,NA,NA,NA,NA
"773436",14,"iSpy (feat. Lil Yachty)","KYLE",579985,"2EEeOnHehOozLq4aS0n6SL","2017-01-10","us",NA,NA,NA,NA,NA
"773437",15,"Don't Wanna Know","Maroon 5",561879,"5MFzQMkrl1FOOng9tq6R9r","2017-01-10","us",NA,NA,NA,NA,NA
"773438",16,"Say You Won't Let Go","James Arthur",561361,"5uCax9HTNlzGybIStD3vDh","2017-01-10","us",NA,NA,NA,NA,NA
"773439",17,"X (feat. Future)","21 Savage",528173,"6fwdbPMwP1zVStm8FybmkO","2017-01-10","us",NA,NA,NA,NA,NA
"773440",18,"Deja Vu","J. Cole",522883,"6I6NX6tjGsxFAsIfGzY9lJ","2017-01-10","us",NA,NA,NA,NA,NA
"773441",19,"24K Magic","Bruno Mars",522224,"6b8Be6ljOzmkOmFslEb23P","2017-01-10","us",NA,NA,NA,NA,NA
"773442",20,"No Heart","21 Savage",510504,"4gmmRb6bZJffOOiww1JGTO","2017-01-10","us",NA,NA,NA,NA,NA
"773443",21,"Chill Bill","Rob $tone",500686,"5uDASfU19gDxSjW8cnCaBp","2017-01-10","us",NA,NA,NA,NA,NA
"773444",22,"How Far I'll Go - From ""Moana""","Alessia Cara",470837,"5hYTyyh2odQKphUbMqc5gN","2017-01-10","us",NA,NA,NA,NA,NA
"773445",23,"Party Monster","The Weeknd",461594,"4F7A0DXBrmUAkp32uenhZt","2017-01-10","us",NA,NA,NA,NA,NA
"773446",24,"One Dance","Drake",458467,"1xznGGDReH1oQq0xzbwXa3","2017-01-10","us",NA,NA,NA,NA,NA
"773447",25,"Sneakin’","Drake",447662,"4ckuS4Nj4FZ7i3Def3Br8W","2017-01-10","us",NA,NA,NA,NA,NA
"773448",26,"Side To Side","Ariana Grande",444598,"4pLwZjInHj3SimIyN9SnOz","2017-01-10","us",NA,NA,NA,NA,NA
"773449",27,"All Time Low","Jon Bellion",441321,"1CnPYaKxTVb4LWOtiGOm0m","2017-01-10","us",NA,NA,NA,NA,NA
"773450",28,"You Was Right","Lil Uzi Vert",435211,"2ANLarE8yHVsLWW21nj79M","2017-01-10","us",NA,NA,NA,NA,NA
"773451",29,"Call On Me - Ryan Riback Extended Remix","Starley",433415,"78rIJddV4X0HkNAInEcYde","2017-01-10","us",NA,NA,NA,NA,NA
"773452",30,"Let Me Love You","DJ Snake",430578,"4pdPtRcBmOSQDlJ3Fk945m","2017-01-10","us",NA,NA,NA,NA,NA
"773453",31,"Mercy","Shawn Mendes",424153,"4TZy1wLyHec06pwgFYDh1a","2017-01-10","us",NA,NA,NA,NA,NA
"773454",32,"In the Name of Love","Martin Garrix",415078,"04DwTuZ2VBdJCCC5TROn7L","2017-01-10","us",NA,NA,NA,NA,NA
"773455",33,"Starving","Hailee Steinfeld",414717,"1qOLh0tI7trd1zdDKxYZTe","2017-01-10","us",NA,NA,NA,NA,NA
"773456",34,"Scars To Your Beautiful","Alessia Cara",411206,"0prNGof3XqfTvNDxHonvdK","2017-01-10","us",NA,NA,NA,NA,NA
"773457",35,"All We Know","The Chainsmokers",408514,"2rizacJSyD9S1IQUxUxnsK","2017-01-10","us",NA,NA,NA,NA,NA
"773458",36,"Heathens","Twenty One Pilots",398314,"6i0V12jOa3mr6uu4WYhUBr","2017-01-10","us",NA,NA,NA,NA,NA
"773459",37,"Love Me Now","John Legend",398169,"6nxQdXa1uAL0rY72wPZu89","2017-01-10","us",NA,NA,NA,NA,NA
"773460",38,"Just Hold On","Steve Aoki",397516,"3EmmCZoqpWOTY1g2GBwJoR","2017-01-10","us",NA,NA,NA,NA,NA
"773461",39,"Swang","Rae Sremmurd",396371,"6mapJIPnQ23RTAevUoE0DL","2017-01-10","us",NA,NA,NA,NA,NA
"773462",40,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",388091,"5knuzwU65gJK7IF5yJsuaW","2017-01-10","us",NA,NA,NA,NA,NA
"773463",41,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance The Rapper",381545,"0v9Wz8o0BT8DU38R4ddjeH","2017-01-10","us",NA,NA,NA,NA,NA
"773464",42,"Redbone","Childish Gambino",364641,"3kxfsdsCpFgN412fpnW85Y","2017-01-10","us",NA,NA,NA,NA,NA
"773465",43,"Six Feet Under","The Weeknd",361511,"4mU5iXHeLgbR94siF7p1sY","2017-01-10","us",NA,NA,NA,NA,NA
"773466",44,"Neighbors","J. Cole",355730,"0utlOiJy2weVl9WTkcEWHy","2017-01-10","us",NA,NA,NA,NA,NA
"773467",45,"Too Good","Drake",341911,"11KJSRSgaDxqydKYiD2Jew","2017-01-10","us",NA,NA,NA,NA,NA
"773468",46,"Sidewalks","The Weeknd",340902,"4h90qkbnW1Qq6pBhoPvwko","2017-01-10","us",NA,NA,NA,NA,NA
"773469",47,"pick up the phone","Young Thug",334634,"20dP2DaMHIAmwWAbp7peSr","2017-01-10","us",NA,NA,NA,NA,NA
"773470",48,"OOOUUU","Young M.A",331796,"7JYsArznYOjX2jsrT3UEnL","2017-01-10","us",NA,NA,NA,NA,NA
"773471",49,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",331438,"6DNtNfH8hXkqOX1sjqmI7p","2017-01-10","us",NA,NA,NA,NA,NA
"773472",50,"Some Kind Of Drug","G-Eazy",325650,"1Bqxj0aH5KewYHKUg1IdrF","2017-01-10","us",NA,NA,NA,NA,NA
"773473",51,"Controlla","Drake",314624,"6F609ICg9Spjrw1epsAnpa","2017-01-10","us",NA,NA,NA,NA,NA
"773474",52,"Now and Later","Sage The Gemini",310325,"43jBqV3j3Xi1g6wO0bhIMd","2017-01-10","us",NA,NA,NA,NA,NA
"773475",53,"Needed Me","Rihanna",309320,"1Tt4sE4pXi57mTD1GCzsqm","2017-01-10","us",NA,NA,NA,NA,NA
"773476",54,"Weak","AJR",306143,"3E2Zh20GDCR9B1EYjfXWyv","2017-01-10","us",NA,NA,NA,NA,NA
"773477",55,"Love On The Brain","Rihanna",296925,"2aksifNn5ph8igDOkPBA02","2017-01-10","us",NA,NA,NA,NA,NA
"773478",56,"Moves","Big Sean",296580,"0Fv5N0cHBsl4bzCbollCAS","2017-01-10","us",NA,NA,NA,NA,NA
"773479",57,"All Night","The Vamps",295868,"1yNyoWWWikbLhwIGWjZuDW","2017-01-10","us",NA,NA,NA,NA,NA
"773480",58,"Chantaje","Shakira",293037,"6mICuAdrwEjh6Y6lroV2Kg","2017-01-10","us",NA,NA,NA,NA,NA
"773481",59,"Make Me (Cry)","Noah Cyrus",289360,"2BrzlUj1u1CtvaJDGIKpsP","2017-01-10","us",NA,NA,NA,NA,NA
"773482",60,"Used to This","Future",286163,"78sr3ogs4UzITcCNbXM9cM","2017-01-10","us",NA,NA,NA,NA,NA
"773483",61,"Both (feat. Drake)","Gucci Mane",283279,"5tFep7dXGd7vEJ668wTPux","2017-01-10","us",NA,NA,NA,NA,NA
"773484",62,"Too Many Years","Kodak Black",280891,"0BU7nIcCZxYSE0hYcc5oZz","2017-01-10","us",NA,NA,NA,NA,NA
"773485",63,"Immortal","J. Cole",280129,"6AGON2BGdPmPMJGiiNuuwl","2017-01-10","us",NA,NA,NA,NA,NA
"773486",64,"Don't Let Me Down","The Chainsmokers",279282,"0QsvXIfqM0zZoerQfsI9lm","2017-01-10","us",NA,NA,NA,NA,NA
"773487",65,"Water","Ugly God",274698,"6HEIBHUirx1J0JkUD24szt","2017-01-10","us",NA,NA,NA,NA,NA
"773488",66,"Treat You Better","Shawn Mendes",274582,"4Hf7WnR761jpxPr5D46Bcd","2017-01-10","us",NA,NA,NA,NA,NA
"773489",67,"goosebumps","Travis Scott",274207,"6gBFPUFcJLzWGx4lenP6h2","2017-01-10","us",NA,NA,NA,NA,NA
"773490",68,"Sunset Lover","Petit Biscuit",273700,"0hNduWmlWmEmuwEFcYvRu1","2017-01-10","us",NA,NA,NA,NA,NA
"773491",69,"Panda","Desiigner",272973,"5OOkp4U9P9oL23maHFHL1h","2017-01-10","us",NA,NA,NA,NA,NA
"773492",70,"Don't Leave","Snakehips",270548,"0Zx8khUcEfCFK2AEoIhC92","2017-01-10","us",NA,NA,NA,NA,NA
"773493",71,"Low Life","Future",267651,"7EiZI6JVHllARrX9PUvAdX","2017-01-10","us",NA,NA,NA,NA,NA
"773494",72,"Selfish","PnB Rock",261929,"2xbI8Vmyv3TkpTdywpPyNw","2017-01-10","us",NA,NA,NA,NA,NA
"773495",73,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",259572,"4dASQiO1Eoo3RJvt74FtXB","2017-01-10","us",NA,NA,NA,NA,NA
"773496",74,"No Role Modelz","J. Cole",257072,"62vpWI1CHwFy7tMIcSStl8","2017-01-10","us",NA,NA,NA,NA,NA
"773497",75,"Water Under the Bridge","Adele",256568,"4vb4mFvYsr2h6enhjJsq9Y","2017-01-10","us",NA,NA,NA,NA,NA
"773498",76,"Money Longer","Lil Uzi Vert",251291,"0B8QzDH7YWih85V5SEMnyJ","2017-01-10","us",NA,NA,NA,NA,NA
"773499",77,"Reminder","The Weeknd",251226,"37F0uwRSrdzkBiuj0D5UHI","2017-01-10","us",NA,NA,NA,NA,NA
"773500",78,"Ride","Twenty One Pilots",250798,"2Z8WuEywRWYTKe1NybPQEW","2017-01-10","us",NA,NA,NA,NA,NA
"773501",79,"Erase Your Social","Lil Uzi Vert",247436,"4uhvMW7ly7tJil31YYscAN","2017-01-10","us",NA,NA,NA,NA,NA
"773502",80,"Congratulations","Post Malone",244923,"3a1lNhkSLSkpJE4MSHpDu9","2017-01-10","us",NA,NA,NA,NA,NA
"773503",81,"Trust Nobody (feat. Selena Gomez & Tory Lanez)","Cashmere Cat",243593,"2wDjpPW3HZdA9quPPmZAMu","2017-01-10","us",NA,NA,NA,NA,NA
"773504",82,"Die For You","The Weeknd",242957,"2LBqCSwhJGcFQeTHMVGwy3","2017-01-10","us",NA,NA,NA,NA,NA
"773505",83,"i hate u, i love u (feat. olivia o'brien)","gnash",241941,"7vRriwrloYVaoAe3a9wJHe","2017-01-10","us",NA,NA,NA,NA,NA
"773506",84,"Come and See Me (feat. Drake)","PARTYNEXTDOOR",239994,"1wZqJM5FGDEl3FjHDxDyQd","2017-01-10","us",NA,NA,NA,NA,NA
"773507",85,"Jumpman","Drake",239637,"27GmP9AWRs744SzKcpJsTZ","2017-01-10","us",NA,NA,NA,NA,NA
"773508",86,"Don't","Bryson Tiller",237813,"3pXF1nA74528Edde4of9CC","2017-01-10","us",NA,NA,NA,NA,NA
"773509",87,"Light","San Holo",237221,"7zTx8ePYAmPFQuxP3xlXZn","2017-01-10","us",NA,NA,NA,NA,NA
"773510",88,"Setting Fires","The Chainsmokers",235821,"0B8B8cVRFIG1yznoQe7c9s","2017-01-10","us",NA,NA,NA,NA,NA
"773511",89,"Exchange","Bryson Tiller",233424,"43PuMrRfbyyuz4QpZ3oAwN","2017-01-10","us",NA,NA,NA,NA,NA
"773512",90,"Shed a Light","Robin Schulz",233263,"1cG0umU5TKStygKsPFZ9pY","2017-01-10","us",NA,NA,NA,NA,NA
"773513",91,"Not Going Home","DVBBS",233024,"042x9bsUBWW2fJgJ6fUh61","2017-01-10","us",NA,NA,NA,NA,NA
"773514",92,"White Iverson","Post Malone",232204,"6eT7xZZlB2mwyzJ2sUKG6w","2017-01-10","us",NA,NA,NA,NA,NA
"773515",93,"I Got You","Bebe Rexha",230511,"1FUViuNSldssMIawrOXF2i","2017-01-10","us",NA,NA,NA,NA,NA
"773516",94,"Work from Home","Fifth Harmony",229339,"4tCtwWceOPWzenK2HAIJSb","2017-01-10","us",NA,NA,NA,NA,NA
"773517",95,"Lighthouse - Andrelli Remix","Hearts & Colors",226212,"04CttTezSnv71USiiG9mIo","2017-01-10","us",NA,NA,NA,NA,NA
"773518",96,"I Would Like","Zara Larsson",225377,"4Q4jmPHwu0wrJvqrld0FQ6","2017-01-10","us",NA,NA,NA,NA,NA
"773519",97,"Lot to Learn","Luke Christopher",224925,"3TRFq09DUgYj1mug6RRqJW","2017-01-10","us",NA,NA,NA,NA,NA
"773520",98,"Gassed Up","Nebu Kiniza",223672,"6JjEVlMkfHWMeYavkEYzNO","2017-01-10","us",NA,NA,NA,NA,NA
"773521",99,"Stressed Out","Twenty One Pilots",223666,"3CRDbSIZ4r5MsZ0YwxuEkn","2017-01-10","us",NA,NA,NA,NA,NA
"773522",100,"Litty (feat. Tory Lanez)","Meek Mill",221723,"5J5PXmMdQ2nh1lZOal8KmK","2017-01-10","us",NA,NA,NA,NA,NA
"773523",101,"Work","Rihanna",221264,"14WWzenpaEgQZlqPq2nk4v","2017-01-10","us",NA,NA,NA,NA,NA
"773524",102,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",220496,"6JV2JOEocMgcZxYSZelKcc","2017-01-10","us",NA,NA,NA,NA,NA
"773525",103,"No Flockin","Kodak Black",219511,"34oWbFBfGEElvgO0a5c9V4","2017-01-10","us",NA,NA,NA,NA,NA
"773526",104,"Too Much Sauce","DJ Esco",216943,"5oyUurs28XRagLa8lgm6V3","2017-01-10","us",NA,NA,NA,NA,NA
"773527",105,"Solo Dance","Martin Jensen",212902,"6HUnnBwYZqcED1eQztxMBN","2017-01-10","us",NA,NA,NA,NA,NA
"773528",106,"Into You","Ariana Grande",211364,"7yHEDfrJNd0zWOfXwydNH0","2017-01-10","us",NA,NA,NA,NA,NA
"773529",107,"Photograph","Ed Sheeran",210641,"6fxVffaTuwjgEk5h9QyRjy","2017-01-10","us",NA,NA,NA,NA,NA
"773530",108,"This Town","Niall Horan",209640,"5nA67Y0XX9JipZwYxX7Gl7","2017-01-10","us",NA,NA,NA,NA,NA
"773531",109,"Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)","Vice",208885,"40UroIGvsMPLPBYwH8rMNA","2017-01-10","us",NA,NA,NA,NA,NA
"773532",110,"Cheap Thrills","Sia",207960,"27SdWb2rFzO6GWiYDBTD9j","2017-01-10","us",NA,NA,NA,NA,NA
"773533",111,"One Night","Lil Yachty",207821,"40yJGQyEaBbIkXpwMFkXip","2017-01-10","us",NA,NA,NA,NA,NA
"773534",112,"That's What I Like","Bruno Mars",206787,"0KKkJNfGyhkQ5aFogxQAPU","2017-01-10","us",NA,NA,NA,NA,NA
"773535",113,"By Your Side","Jonas Blue",205628,"1D3ODoXHBLpdxolZRHWV1j","2017-01-10","us",NA,NA,NA,NA,NA
"773536",114,"Deja Vu","Post Malone",204486,"0H8XeaJunhvpBdBFIYi6Sh","2017-01-10","us",NA,NA,NA,NA,NA
"773537",115,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",200699,"68EMU2RD1ECNeOeJ5qAXCV","2017-01-10","us",NA,NA,NA,NA,NA
"773538",116,"Me, Myself & I","G-Eazy",198771,"40YcuQysJ0KlGQTeGUosTC","2017-01-10","us",NA,NA,NA,NA,NA
"773539",117,"Thinking Out Loud","Ed Sheeran",198116,"1Slwb6dOYkBlWal1PGtnNg","2017-01-10","us",NA,NA,NA,NA,NA
"773540",118,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",198008,"17Fd6Yb7mSbinKG8LoWfFl","2017-01-10","us",NA,NA,NA,NA,NA
"773541",119,"This Is What You Came For","Calvin Harris",196632,"0azC730Exh71aQlOt9Zj3y","2017-01-10","us",NA,NA,NA,NA,NA
"773542",120,"Change","J. Cole",195536,"3pjUyVbFmM96tYhSaKJwTt","2017-01-10","us",NA,NA,NA,NA,NA
"773543",121,"True Colors","The Weeknd",194954,"6i759FCuKx713ZnYjtpQGU","2017-01-10","us",NA,NA,NA,NA,NA
"773544",122,"Cake","Flo Rida",194327,"6t2ubAB4iSYOuIpRAOGd4t","2017-01-10","us",NA,NA,NA,NA,NA
"773545",123,"Party","Chris Brown",191125,"05Z7jet4VDNVgNQWcYHnrk","2017-01-10","us",NA,NA,NA,NA,NA
"773546",124,"Gold","Kiiara",189624,"6WhzFzROw3aq3rPWjgYlxr","2017-01-10","us",NA,NA,NA,NA,NA
"773547",125,"Secrets","The Weeknd",188715,"3DX4Y0egvc0slLcLl31h2p","2017-01-10","us",NA,NA,NA,NA,NA
"773548",126,"Let Me Explain","Bryson Tiller",188141,"1trZGMI2CGyVT44STkpCoN","2017-01-10","us",NA,NA,NA,NA,NA
"773549",127,"Juju On That Beat (TZ Anthem)","Zay Hilfigerrr",187963,"1lItf5ZXJc1by9SbPeljFd","2017-01-10","us",NA,NA,NA,NA,NA
"773550",128,"Living Single","Big Sean",187650,"36xxq7VDZZsGwARsn6Clo7","2017-01-10","us",NA,NA,NA,NA,NA
"773551",129,"Father Stretch My Hands Pt. 1","Kanye West",184981,"4KW1lqgSr8TKrvBII0Brf8","2017-01-10","us",NA,NA,NA,NA,NA
"773552",130,"Good Drank","2 Chainz",184642,"39pS70eeDvyCAF3t8NAlVV","2017-01-10","us",NA,NA,NA,NA,NA
"773553",131,"What They Want","Russ",183979,"3pndPhlQWjuSoXhcIIdBjv","2017-01-10","us",NA,NA,NA,NA,NA
"773554",132,"Timeless (DJ SPINKING)","A Boogie Wit da Hoodie",182800,"0q5DrtpnnGpOvBy5nnPMbe","2017-01-10","us",NA,NA,NA,NA,NA
"773555",133,"The Hills","The Weeknd",181925,"25khomWgBVamSdKw7hzm3l","2017-01-10","us",NA,NA,NA,NA,NA
"773556",134,"Hear Me Now","Alok",180729,"1a5Yu5L18qNxVhXx38njON","2017-01-10","us",NA,NA,NA,NA,NA
"773557",135,"All Time Low","Jon Bellion",180272,"5wQRNkb7OhzJoT1P0OZ4Rw","2017-01-10","us",NA,NA,NA,NA,NA
"773558",136,"Oceans Away","A R I Z O N A",179923,"6A8dnC0xkiuWN4BshmTB2I","2017-01-10","us",NA,NA,NA,NA,NA
"773559",137,"Rockin’","The Weeknd",179714,"36YCdzT57us0LhDmCYtrNE","2017-01-10","us",NA,NA,NA,NA,NA
"773560",138,"Never Be Like You","Flume",179093,"12REd1n8PeiHHWOh066tpr","2017-01-10","us",NA,NA,NA,NA,NA
"773561",139,"Wyclef Jean","Young Thug",178049,"55OdqrG8WLmsYyY1jijD9b","2017-01-10","us",NA,NA,NA,NA,NA
"773562",140,"Somebody Else","VÉRITÉ",177974,"34i4yxPrHWquuR4kjiivFO","2017-01-10","us",NA,NA,NA,NA,NA
"773563",141,"It's Gotta Be You","Isaiah",177815,"6cAKeFFYW2aClZSUyvqAEW","2017-01-10","us",NA,NA,NA,NA,NA
"773564",142,"Blue Ain't Your Color","Keith Urban",177560,"6ZOPiKQeibCn7fP8dncucL","2017-01-10","us",NA,NA,NA,NA,NA
"773565",143,"Pop Style","Drake",177178,"1WRy5l3TwrwlzNmB5bOeKw","2017-01-10","us",NA,NA,NA,NA,NA
"773566",144,"History","Olivia Holt",176377,"0WCEaydwN65cvwaW8aqptF","2017-01-10","us",NA,NA,NA,NA,NA
"773567",145,"Go Flex","Post Malone",174304,"5yuShbu70mtHXY0yLzCQLQ","2017-01-10","us",NA,NA,NA,NA,NA
"773568",146,"7 Years","Lukas Graham",173907,"7129iqBafaphfc3WPCGC0L","2017-01-10","us",NA,NA,NA,NA,NA
"773569",147,"Love Yourself","Justin Bieber",173793,"3hB5DgAiMAQ4DzYbsMq1IT","2017-01-10","us",NA,NA,NA,NA,NA
"773570",148,"You & Me","Marc E. Bassy",172889,"4QdovcM8j50QPlyR7tH4xe","2017-01-10","us",NA,NA,NA,NA,NA
"773571",149,"Location","Khalid",172819,"152lZdxL1OR0ZMW6KquMif","2017-01-10","us",NA,NA,NA,NA,NA
"773572",150,"Capsize","FRENSHIP",172521,"2XMTqoHHSH0lvuXrvIEdco","2017-01-10","us",NA,NA,NA,NA,NA
"773573",151,"Dynamite (feat. Pretty Sister)","Nause",170975,"2Ae5awwKvQpTBKQHr1TYCg","2017-01-10","us",NA,NA,NA,NA,NA
"773574",152,"My Shit","A Boogie Wit da Hoodie",170494,"5uQOauh47VFt3B2kV9kRXw","2017-01-10","us",NA,NA,NA,NA,NA
"773575",153,"Say It (feat. Tove Lo)","Flume",170087,"4sQMalN597HdggTu196aL0","2017-01-10","us",NA,NA,NA,NA,NA
"773576",154,"Roses","The Chainsmokers",169638,"6O6M7pJLABmfBRoGZMu76Y","2017-01-10","us",NA,NA,NA,NA,NA
"773577",155,"Send My Love (To Your New Lover)","Adele",169026,"4BHzQ9C00ceJxfG16AlNWb","2017-01-10","us",NA,NA,NA,NA,NA
"773578",156,"Still Here","Drake",168391,"433P7tDcIAi6NLnf4Sh6tI","2017-01-10","us",NA,NA,NA,NA,NA
"773579",157,"The Other","Lauv",167194,"1lntL1cI2UIWlxjL5QiN8g","2017-01-10","us",NA,NA,NA,NA,NA
"773580",158,"Taped Up Heart (feat. Clara Mae)","KREAM",166641,"26hcyzSE154xMZCbFdtInA","2017-01-10","us",NA,NA,NA,NA,NA
"773581",159,"Oh Lord","MiC LOWRY",165721,"1sTUEdVO85YU8Ymk2jeAls","2017-01-10","us",NA,NA,NA,NA,NA
"773582",160,"Drinkin' Too Much","Sam Hunt",164532,"1PouCui4RgDYcrQVAqdYuf","2017-01-10","us",NA,NA,NA,NA,NA
"773583",161,"The Mack","Nevada",164521,"7aV2mflaASUmGhCErm7kBO","2017-01-10","us",NA,NA,NA,NA,NA
"773584",162,"'Till I Collapse","Eminem",164381,"6yr8GiTHWvFfi4o6Q5ebdT","2017-01-10","us",NA,NA,NA,NA,NA
"773585",163,"She's Mine Pt. 1","J. Cole",163487,"0HtOJj7Kl74s1Ngf3MWeif","2017-01-10","us",NA,NA,NA,NA,NA
"773586",164,"Crazy Brazy","A$AP Mob",161962,"59e7E2LMPZ2bhW5G6aCwX8","2017-01-10","us",NA,NA,NA,NA,NA
"773587",165,"The Greatest","Sia",161576,"7xHWNBFm6ObGEQPaUxHuKO","2017-01-10","us",NA,NA,NA,NA,NA
"773588",166,"Black Barbies","Nicki Minaj",161408,"3y9cCbnBn0zjkJa2YkOj70","2017-01-10","us",NA,NA,NA,NA,NA
"773589",167,"4 Your Eyez Only","J. Cole",160509,"1vvnYpYEMVB4aq9I6tHIEB","2017-01-10","us",NA,NA,NA,NA,NA
"773590",168,"Lose Yourself - Soundtrack Version","Eminem",160354,"5Z01UMMf7V1o0MzF86s6WJ","2017-01-10","us",NA,NA,NA,NA,NA
"773591",169,"Tiimmy Turner","Desiigner",160335,"3NJG6vMH1ZsectZkocMEm0","2017-01-10","us",NA,NA,NA,NA,NA
"773592",170,"Famous","Kanye West",159728,"19a3JfW8BQwqHWUMbcqSx8","2017-01-10","us",NA,NA,NA,NA,NA
"773593",171,"Ville Mentality","J. Cole",158899,"2z3joGXrdGL2iEjIKQTiN1","2017-01-10","us",NA,NA,NA,NA,NA
"773594",172,"Ophelia","The Lumineers",158596,"7bTwYGhBdSQ8vuXc76Xint","2017-01-10","us",NA,NA,NA,NA,NA
"773595",173,"oui","Jeremih",157912,"0PJIbOdMs3bd5AT8liULMQ","2017-01-10","us",NA,NA,NA,NA,NA
